iter	Passed	Remaining
0	106	212664
1	143	143713
2	181	120813
3	223	111382
4	286	114242
5	323	107631
6	352	100483
7	391	97540
8	426	94346
9	458	91190
10	495	89590
11	539	89350
12	580	88660
13	615	87336
14	642	85080
15	672	83359
16	695	81076
17	716	78869
18	738	76981
19	760	75300
20	783	73844
21	823	74066
22	909	78218
23	962	79248
24	998	78883
25	1020	77468
26	1037	75817
27	1057	74510
28	1076	73191
29	1094	71861
30	1114	70794
31	1132	69659
32	1154	68789
33	1186	68579
34	1207	67764
35	1226	66913
36	1247	66205
37	1269	65533
38	1287	64744
39	1308	64097
40	1328	63496
41	1351	63014
42	1371	62434
43	1394	61994
44	1420	61709
45	1440	61209
46	1461	60736
47	1480	60209
48	1497	59631
49	1517	59163
50	1534	58653
51	1556	58293
52	1584	58212
53	1657	59743
54	1694	59928
55	1726	59924
56	1753	59775
57	1778	59550
58	1800	59245
59	1824	58983
60	1867	59369
61	1906	59589
62	1930	59341
63	1956	59170
64	1987	59152
65	2029	59479
66	2059	59415
67	2090	59396
68	2122	59403
69	2191	60433
70	2232	60648
71	2256	60415
72	2274	60047
73	2300	59865
74	2320	59560
75	2341	59273
76	2360	58938
77	2376	58555
78	2394	58226
79	2420	58098
80	2441	57846
81	2462	57595
82	2484	57371
83	2511	57277
84	2543	57310
85	2564	57081
86	2585	56858
87	2605	56615
88	2627	56423
89	2652	56291
90	2672	56071
91	2694	55872
92	2716	55699
93	2740	55560
94	2761	55377
95	2780	55151
96	2799	54924
97	2816	54668
98	2839	54519
99	2855	54248
100	2871	53984
101	2886	53720
102	2904	53493
103	2920	53240
104	2939	53046
105	2958	52855
106	2975	52633
107	2995	52479
108	3013	52273
109	3035	52153
110	3060	52091
111	3079	51913
112	3104	51840
113	3139	51945
114	3186	52225
115	3214	52206
116	3249	52291
117	3285	52407
118	3314	52386
119	3356	52589
120	3392	52676
121	3429	52788
122	3470	52958
123	3503	53000
124	3544	53171
125	3568	53067
126	3590	52949
127	3609	52788
128	3631	52668
129	3647	52474
130	3663	52265
131	3683	52132
132	3706	52028
133	3727	51909
134	3746	51761
135	3769	51666
136	3804	51732
137	3837	51773
138	3864	51742
139	3903	51866
140	3940	51957
141	3975	52020
142	4006	52029
143	4042	52101
144	4076	52148
145	4100	52068
146	4121	51952
147	4138	51786
148	4156	51630
149	4180	51558
